Assignment,Notebook_Name,Questions
assignment1,A1P1_eda_extended.ipynb,"2.1. For each feature, generate basic summary statistics."
assignment1,A1P1_eda_extended.ipynb,"2.2. For each feature, look at the distribution using either histograms or bar charts."
assignment1,A1P1_eda_extended.ipynb,"2.3. For each pair of numeric features, evaluate the pairwise correlation and comment on them."
assignment1,A1P1_eda_extended.ipynb,"2.4. From your own exploration of the data, provide a few paragraphs explaining the relationships within the dataset. This is also an opportunity to identify how best to conduct your feature engineering."
assignment1,A1P1_eda_extended.ipynb,"3.1. After you have tested these 2 tools, try to search for and discover another tool that can be used to help you do EDA. This could be a comprehensive 'all-in-one' tool like the above or could just focus on one aspect of the EDA, for example better visualizations. Share your discovery with your teammates so that you will have a pool of tools to use for the future"
assignment1,A1P2_intro_supervised.ipynb,2.1. Import the necessary libraries needed by this notebook. You may have to edit and execute this cell a few times as you go through the exercise.
assignment1,A1P2_intro_supervised.ipynb,2.2. Load in the data and do any necessary cleaning. Investigate common feature engineering techniques and apply them to the dataset. You may find sklearn's pipeline mechanism useful for this task.
assignment1,A1P2_intro_supervised.ipynb,"2.3. Implement the data pipeline using the provided datapipeline.py template in the src/ folder. The transform function should take in the data path and return 4 numpy arrays, X_train, X_test, y_train, y_test."
assignment1,A1P2_intro_supervised.ipynb,"3.1. Using RandomForestClassifier() from sklearn.ensemble, create and train a model using the default parameters."
assignment1,A1P2_intro_supervised.ipynb,"4.1. Calculate the confusion matrix for our model on the test set. Additionally, calculate the precision, recall and F1 scores manually from this matrix and validate that calculations are correct."
assignment1,A1P2_intro_supervised.ipynb,4.2. Investigate how this can be done for this model. Plot both the Precision vs Threshold and Recall vs Threshold curve and Precision vs Recall curve. Comment on what information we can obtain from these plots.
assignment1,A1P2_intro_supervised.ipynb,4.3. Plot the ROC Curve and obtain the AUC. Explain what other information can be obtained from the ROC Curve (apart from the AUC).
assignment1,A1P2_intro_supervised.ipynb,"5.1. Execute the code in the following cell and review the errors. For our binary classifier, this analysis may not be that illuminative. However, this type of analysis will be very useful when you are building multiclass classification modules."
assignment1,A1P2_intro_supervised.ipynb,6.1. Apply cross validation to the data and model. Present the metrics for each fold. Calculate the mean and standard deviation for the metrics.
assignment1,A1P2_intro_supervised.ipynb,6.2. How did you split the train set to obtain the N folds? Was it stratified by the target variables? Were the distribution of the features considered during the split? You can discuss with your peers on what is the best way to split the training set during cross validation.
assignment1,A1P2_intro_supervised.ipynb,"6.3. When performing model hyperparameter tuning, we can use nested cross validation. Describe the nested cross validation and apply the method to the data and model."
assignment1,A1P2_intro_supervised.ipynb,7.1 Create a decision tree which has 3 terminal nodes and calculate the feature importance manually
assignment1,A1P2_intro_supervised.ipynb,"7.2 Obtain the feature importance which was manually computed, does your manual calculation agree with it?"
assignment1,A1P2_intro_supervised.ipynb,"7.3 Obtain the feature importance and permutation importance for the random forest. Additionally, are the important features obtained from permutation importance similar to that from the basic feature importance?"
assignment1,A1P2_intro_supervised.ipynb,7.4 A reason why the decision tree is so favoured when it comes to presenting your findings is that it is extremely explainable. But what does explainability mean and why is it important?
assignment1,A1P2_intro_supervised.ipynb,7.5 A client notices that tree-based algorithms tend to lend more feature importance to numerical columns as opposed to categorical columns and wants to know why!
assignment1,A1P2_intro_supervised.ipynb,7.6 Taxonomy of Interpretability Methods
assignment1,A1P2_intro_supervised.ipynb,"8.1. Using the model.py template in the src/ folder, implement the random forest model as a class. Follow the instructions in teh template with regards to the requirements of this class."
assignment1,A1P2_intro_supervised.ipynb,"9.1. Tune the algorithm on a few hyperparameters. Compare the metrics against the base model. When you are done tuning, update the get_default_params() function in your model.py script with the optimal hyperparameters."
assignment1,A1P2_intro_supervised.ipynb,10.1. Create a logistic regression model using the data and repeat the evaluation metrics as before.
assignment1,A1P2_intro_supervised.ipynb,10.2. Compare the performance of the logistic regression model to the random forest model and discuss which is better suited for the data.
assignment1,A1P3_rf_from_scratch.ipynb,2.1. Load in the UCI Census data.
assignment1,A1P3_rf_from_scratch.ipynb,2.2. Begin by doing the following actions:
assignment1,A1P3_rf_from_scratch.ipynb,"2.3. Create a method in the DecisionTree class called gini() and implement the calculation above. The method should accept 2 lists of numbers, representing the labels for the datapoints in a node. The following cells tests your method for correctness."
assignment1,A1P3_rf_from_scratch.ipynb,"2.4. Implement a fit method that takes in 2 NumPy matrices: a m\*n train array with m training examples of 'n' features, and a m\*1 array of labels."
assignment1,A1P3_rf_from_scratch.ipynb,2.5. Implement a predict method for the model.
assignment1,A1P3_rf_from_scratch.ipynb,"2.6. Even if the program executes correctly, it does not mean that the results are correct. How would you validate the results of your implementation?"
assignment1,A1P3_rf_from_scratch.ipynb,3.1. Build a simple random forest using the following steps:
assignment1,A1P3_rf_from_scratch.ipynb,3.2. Implement the following modifications.
assignment1,A1P3_rf_from_scratch.ipynb,"3.3. Finally, implement the feature_proportion feature. This feature refers to the number of features we allow each tree to use. This further increases the randomness and eliminates overfitting."
assignment4,A4P1_introduction_deep_learning.ipynb,2.1. Obtain the data from the SQL Server and perform basic EDA
assignment4,A4P1_introduction_deep_learning.ipynb,"2.2. As the target variable is highly imbalanced, there is a need to use statistical methods to account for this imbalance. Some methods include oversampling, undersampling, sample weighting and Application of Synthetic Minority Over-sampling Technique (SMOTE). Choose one method and explain in detail how it addresses imbalanced datasets."
assignment4,A4P1_introduction_deep_learning.ipynb," 3.1. Use Keras within TensorFlow (2.0) to build a neural network that has 1 input layer, 3 hidden layers and 1 output layer. Please choose an appropriate loss function when compiling the model. You do not need to train the model at this step. Just define the architecture and compile the model."
assignment4,A4P1_introduction_deep_learning.ipynb,3.2. Write a data pre-processing pipeline to prepare the data in a way that is useable by the model in 3.1. for training.
assignment4,A4P1_introduction_deep_learning.ipynb,3.3. Train a model on the imbalanced data and analyse the model's performance. Choose a suitable metric and explain your choice.
assignment4,A4P1_introduction_deep_learning.ipynb,3.4. Implement one of the techniques for handling imbalanced datasets. Train a separate new model with this technique and analyse the model's performance. Does the technique help improve the model's performance?
assignment4,A4P1_introduction_deep_learning.ipynb,3.5. Propose some methods to alter the model architecture in order to improve its performance. Choose 2 of the proposed methods and make use of the run:ai platform to run the experiments. Analyse the results to determine which model was the best performing model.
assignment4,A4P1_introduction_deep_learning.ipynb,3.6. Regularisation is also important to prevent neural networks from overfitting. Some regularisation methods include dropout and early stopping. Explain how these 2 methods help prevent overfitting in neural networks.
assignment4,A4P1_introduction_deep_learning.ipynb,3.7. Implement dropout and early stopping in the neural network and evaluate the model performance again. Save the best model.
assignment4,A4P2_components_of_neural_networks.ipynb, 2.1. Obtain the data and feature engineer based on part 1 of the assignment. Please take into consideration how the feature engineering can be reusable and reproducible.
